"clean_comment";"label"
"in some kind of serious troble but i don t see";"CODE"
"what we can do about it";"CODE"
"now last thing that s left to do go over all subgroups if any";"TASK"
"recurse for every sub meta group";"CODE"
"catch everything and bravely continue with remaining groups";"CODE"
"and contacts";"-"
"remove the node so that it doesn t cause us problems again";"CODE"
"hmm failed to remove the faulty node we must be";"TASK"
"in some kind of serious troble but i don t see";"CODE"
"what we can do about it";"CODE"
"for some reason every now and then we would get a null nodename";"CODE"
"go figure";"-"
"this is a duplicate mark for removal and continue";"CODE"
"remove all duplicates";"-"
"set attributes";"IRRE"
"append persistent data child node";"CODE"
"set attributes";"IRRE"
"append persistent data child node";"CODE"
"create the display name node";"IRRE"
"create and fill the proto groups node";"IRRE"
"ignore if the proto group is not persistent";"-"
"create and fill the sub groups node";"IRRE"
"create and fill child contacts node";"IRRE"
"if the parent group is not persistent do not do anything";"CODE"
"cause its missing in xml";"-"
"not sure what to do in case of null we ll be logging an internal";"CODE"
"err for now and that s all";"CODE"
"if the group was created as an encapsulator of a non persistent proto";"IRRE"
"group then we ll ignore it";"-"
"not sure what to do in case of null we ll be logging an internal";"CODE"
"err for now and that s all";"CODE"
"not sure what to do in case of null we ll be loggin an internal err";"CODE"
"for now and that s all";"CODE"
"remove the meta contact node";"-"
"in case of null this is a case of moving from non persistent group";"CODE"
"to a persistent one";"-"
"create new node";"IRRE"
"find the first protogroup originating from the same account as";"CODE"
"the one that the current contact belongs to";"-"
"not sure what to do in case of null we ll be loggin an internal err";"CODE"
"for now and that s all";"CODE"
"remove the meta contact node";"-"
"not sure what to do in case of null we ll be loggin an internal err";"CODE"
"for now and that s all";"CODE"
"not sure what to do in case of null we ll be logging an internal err";"CODE"
"for now and that s all";"CODE"
"i don t think we could do anything else in addition to updating the";"CODE"
"persistent data";"-"
"not sure what to do in case of null we ll be logging an internal err";"CODE"
"for now and that s all";"CODE"
"indicates add";"TASK"
"indicates remove";"-"
"indicates removing multiple values at one time";"IRRE"
"removing one value only";"IRRE"
"indicates change";"-"
"not sure what to do in case of null we ll be logging an internal err";"CODE"
"for now and that s all";"CODE"
"ignore not interested in such kind of events";"CODE"
"not sure what to do in case of null we ll be logging an internal err";"CODE"
"for now and that s all";"CODE"
"the fact that a contact group was added or removed to a";"OUTD"
"meta group may imply substantial changes in the child contacts";"CODE"
"and the layout of any possible subgroups so";"-"
"to make things simple we ll remove the existing meta contact";"-"
"group node and re create it according to its current state";"IRRE"
"not sure what to do in case of null we ll be logging an internal err";"CODE"
"for now and that s all";"CODE"
"not sure what to do in case of null we ll be logging an internal err";"CODE"
"for now and that s all";"CODE"
"update parent attr and append the contact to its new parent node";"CODE"
"todo store metacontact avatar";"TASK"
"if we got here then metacontact is not in this list";"CODE"
"if we got here then metacontactgroup is not in this list";"CODE"
"first go through the contacts that are direct children of this method";"CODE"
"if we didn t find it here let s try in the subgroups";"CODE"
"if we didn t find it here let s try in the subgroups";"CODE"
"first go through the contacts that are direct children of this method";"CODE"
"if we didn t find it here let s try in the subgroups";"CODE"
"first go through the contacts that are direct children of this method";"CODE"
"if we didn t find it here let s try in the subgroups";"CODE"
"first check here in this meta group";"CODE"
"if we didn t find it here let s try in the subgroups";"CODE"
"et this group as a callback in the meta contact";"CODE"
"no need to synch it s not a disaster if s o else reads the old copy";"TASK"
"no need to synch it s not a disaster if s o else reads the old copy";"TASK"
"this is new and empty group we can store it as user want this";"CODE"
"create the uid";"IRRE"
"first try to ask the capabilities operation set if such is";"IRRE"
"available";"-"
"if the current default contact supports the requested operationset";"CODE"
"we use it";"-"
"first try to ask the capabilities operation set if such is";"IRRE"
"available";"-"
"first try to ask the capabilities operation set if such is";"IRRE"
"available";"-"
"we filter to care only about contact which support";"-"
"the needed opset";"IRRE"
"the caller is willing to perform a lengthy operation so let s";"CODE"
"query the proto contacts for their avatars";"CODE"
"if we got a result from the above then let s cache and";"CODE"
"return it";"IRRE"
"if we get here then the caller is probably not willing to perform";"IRRE"
"network operations and opted for a lazy retrieve or the";"CODE"
"queryavatar method returned null because we are calling it too often";"IRRE"
"we already have a cached avatar so let s return it";"CODE"
"no cached avatar let s try the file system for previously stored";"CODE"
"ones unless we already did this";"CODE"
"re init the default contact";"IRRE"
"if this is our first contact and we don t already have a display";"CODE"
"name use theirs";"IRRE"
"be careful not to use setdisplayname here cause this will";"IRRE"
"bring us into a deadlock";"CODE"
"check if the capabilities operation set is available for this";"IRRE"
"contact and add a listener to it in order to track capabilities";"TASK"
"changes for all contained protocol contacts";"CODE"
"first lightremove or otherwise we won t be able to get hold of the";"CODE"
"contact";"-"
"now read it and the contact would be automatically placed";"IRRE"
"properly by the containing group";"-"
"check if the capabilities operation set is available for this";"IRRE"
"contact and add a listener to it in order to track capabilities";"TASK"
"changes for all contained protocol contacts";"CODE"
"if the default contact has been modified set it to null";"IRRE"
"if the default contact has been modified set it to null";"IRRE"
"this should not happen because this method is called explicitly for";"CODE"
"events coming from the capabilities operation set";"IRRE"
"remove contact from opset to contact mapping";"IRRE"
"remove opsets that have no associated contact";"IRRE"
"initialize the meta contact list from what has been stored locally";"IRRE"
"start listening for newly register or removed protocol providers";"CODE"
"first discover the icq service";"CODE"
"then find the protocol provider service";"-"
"in case we found any retrieve the root groups for all protocol";"CODE"
"providers and create the meta contact list";"IRRE"
"top listening to all currently installed providers";"-"
"check if a non persistent presence operation set exists";"IRRE"
"find the parent group in the corresponding protocol";"CODE"
"we already have at least one group corresponding to the meta group";"CODE"
"we don t have a proto group here obtain a ref to the parent";"CODE"
"proto group which may be created along the way and create it";"IRRE"
"if persistent presence is not supported just bail";"-"
"we should have verified this earlier anyway";"CODE"
"special treatment for the root group stop the recursion";"CODE"
"create the proto group";"IRRE"
"create the group";"IRRE"
"wait for a confirmation event";"CODE"
"whatever happens we need to remove the event collector";"TASK"
"and the ignore filter";"-"
"th went wrong";"META"
"now add the proto group to the meta group";"TASK"
"don t fire a proto cont added event we ll";"TASK"
"fire our own event here";"-"
"make sure that parent does not already contain a subgroup called";"CODE"
"groupname";"-"
"we only have to create the meta contact group here";"IRRE"
"we don t care about protocol specific groups";"CODE"
"fire the event";"-"
"get a persistent presence operation set";"IRRE"
"get a persistent presence operation set";"IRRE"
"changing the display name has surely brought a change in the order as";"CODE"
"well so let s tell the others";"CODE"
"set display name";"IRRE"
"just fire event so the modification is stored";"-"
"get a persistent presence operation set";"IRRE"
"get a persistent presence operation set";"IRRE"
"first remove the meta contact from its current parent";"CODE"
"first make sure that the new meta contact group path is resolved";"CODE"
"against all protocols that the metacontact requires then move";"CODE"
"the meta contact in there and move all prot contacts inside it";"CODE"
"get a persistent or non persistent presence operation set";"IRRE"
"remove the contact from the provider and do nothing else";"CODE"
"updating and or removing the corresponding meta contact would happen";"CODE"
"once a confirmation event is received from the underlying protocol";"CODE"
"provider";"-"
"in case the provider only has a persistent operation set";"IRRE"
"do not fire events that will be done by the contact listener as soon";"CODE"
"as it gets confirmation events of proto contact removal";"-"
"the removal of the last contact would also generate an even for the";"CODE"
"removal of the meta contact itself";"CODE"
"remove all proto groups and then remove the meta group as well";"-"
"if we failed to find the metagroup corresponding to proto group";"-"
"first go through all direct children";"-"
"get references to all contacts that will be removed in case we";"CODE"
"need to fire an event";"TASK"
"if this was the last proto contact inside this meta contact";"CODE"
"then remove the meta contact as well otherwise only fire an";"-"
"event";"-"
"there are other proto contacts left in the contact child";"CODE"
"meta contact so we ll have to send an event for each of the";"CODE"
"removed contacts and not only a single event for the whole";"OUTD"
"meta contact";"-"
"then go through all subgroups";"-"
"remove the group if there are no children left";"-"
"first register the root group";"-"
"register subgroups and contacts";"-"
"continue if we have already loaded this group from the locally";"CODE"
"tored contact list";"-"
"right now we simply map this group to an existing one";"CODE"
"without being cautious and verify whether we already have it";"CODE"
"registered";"-"
"now add all contacts located in this group";"CODE"
"continue if we have already loaded this contact from the locally";"CODE"
"tored contact list";"-"
"check whether the provider has a persistent presence op set";"IRRE"
"if we have a persistent presence op set then retrieve its contact";"IRRE"
"list and merge it with the local one";"-"
"load contacts stored in the local contact list and corresponding to";"CODE"
"this provider";"CODE"
"get the root group for the provider so that we could remove it";"CODE"
"ignore if persistent presence is not supported";"-"
"we don t care about subscription and presence status events here";"CODE"
"any longer";"-"
"iterate all sub groups and remove them one by one";"-"
"we dont simply remove the root group because the mcl storage";"IRRE"
"manager is stupid i wrote it and doesn t know root groups exist";"CODE"
"that s why it needs to hear an event for every single group";"TASK"
"remove the group";"-"
"remove the root group";"-"
"check if the capabilities operation set is available for this";"IRRE"
"contact and remove previously added listeners";"TASK"
"first check whether registrations in the ignore list already";"CODE"
"exist for this group";"CODE"
"first check whether the registration actually exists";"META"
"first check whether registrations in the ignore list already";"CODE"
"exist for this contact";"CODE"
"first check whether the registration actually exists";"META"
"we don t care if the source service is not a protocol provider";"CODE"
"first check if the event really means that the accounts is";"IRRE"
"uninstalled installed or is it just stopped e g we could be";"CODE"
"shutting down or in the other case it could be just modified";"CODE"
"before that however we d need to get a reference to the service";"CODE"
"if we have the provider mask property set make sure that this";"IRRE"
"provider has it and if not ignore it";"-"
"the account is already installed and this event is coming";"CODE"
"from a modification we don t return here as";"CODE"
"the account is removed and added again and we must";"TASK"
"create its unresolved contact and give him a chance to resolve";"IRRE"
"them and not fire new subscription to duplicate the already";"CODE"
"existing";"-"
"return";"IRRE"
"trange we must be shutting down just bail";"TASK"
"if the account is still registered or is just unloaded but";"CODE"
"remains stored we remove its contacts but without storing this";"CODE"
"the account is still installed it means we are modifying it";"TASK"
"we remove all its contacts from current contactlist";"CODE"
"but remove the storage manager in order to avoid";"META"
"losing those contacts from the storage";"CODE"
"as its modification later unresolved contacts will be created";"IRRE"
"which will be resolved from the already modified account";"CODE"
"ignore the event if the source contact is in the ignore list";"CODE"
"fire the meta contact event";"-"
"make sure we have a local copy of the avatar";"-"
"ignore the event if the source contact is in the ignore list";"CODE"
"if the move was caused by us when merging contacts then chances";"-"
"are that the contact is already in the right group";"CODE"
"if the meta contact does not have other children apart from the";"CODE"
"contact that we re currently moving then move the whole meta";"-"
"contact to the new parent group";"CODE"
"if the source contact is not the only contact encapsulated by the";"-"
"currentmetacontact then create a new meta contact in the new";"CODE"
"parent group and move the source contact to it";"-"
"first check whether a contact hasn t been already added to";"TASK"
"a metacontact";"-"
"move the proto contact and fire the corresponding event";"-"
"new contact was created";"IRRE"
"fire an event notifying that a new meta contact was added";"TASK"
"this was a contact we already had so all we need to do is";"CODE"
"update it s details";"CODE"
"if we have one contact display name of metacontact";"-"
"haven t been changed by user";"-"
"and contact display name is different from";"CODE"
"metacontact s one let s change it";"CODE"
"changing the display name has surely brought a change in the order as";"CODE"
"well so let s tell the others";"CODE"
"we get here if the name of a contact has changed but the";"META"
"meta contact list is not going to reflect any change";"-"
"because it is not displaying that name in this case we";"CODE"
"imply make sure everyone e g the storage manager";"-"
"knows about the change";"-"
"if persistent data changed fire an event to store it";"-"
"if this was the last protocol specific contact in this meta";"CODE"
"contact then remove the meta contact as well";"-"
"this was not the las proto contact so only generate the";"CODE"
"corresponding event";"-"
"if parent already contains a meta group with the same name we ll";"CODE"
"reuse it as the container for the new contact group";"CODE"
"if there was no meta group with the specified name create a new";"IRRE"
"one";"-"
"check if there were any subgroups";"IRRE"
"ignore the event if the source group is in the ignore list";"CODE"
"check whether the meta group was already existing before";"CODE"
"adding proto groups to it";"TASK"
"add parent group to the serverstoredgroupevent";"TASK"
"if this was the first contact group in the meta group fire an";"CODE"
"added event otherwise fire a modification event";"TASK"
"we couldn t care less";"-"
"if the only group contained in this group is renamed";"CODE"
"rename it";"-"
"ignore if we have no meta contact";"-"
"first check if the group exists already";"IRRE"
"if the group exists then we have already loaded it for another";"CODE"
"account and we should reuse the same instance";"IRRE"
"i don t think this method needs to produce events since it is";"CODE"
"currently only called upon initialization but it doesn t hurt";"IRRE"
"trying";"CODE"
"get the presence op set";"IRRE"
"first check if the meta contact exists already";"IRRE"
"create unresolved contacts for the protocontacts associated with this";"CODE"
"this contact has already been registered by another meta contact";"CODE"
"o we ll ignore it if this is the only contact in the meta";"CODE"
"contact we ll throw an exception at the end of the method and";"CODE"
"cause the mcl storage manager to remove it";"IRRE"
"no need to wait if an event is already there";"TASK"
"no need to wait if an event is already there";"TASK"
"if the source contact isn t contained in this meta contact we have";"CODE"
"nothing more to do here";"TASK"
"ignore if we have no meta contact";"-"
"1 2 3 4 5";"-"
"sec bog ign sec only sec or unsig warn bog warnall";"CODE"
"a 1 0 ok ok ok ok ok";"-"
"b 0 1 ok nok nok ask ask";"-"
"c 0 0 ok nok ok ok ask";"-"
"create default entry";"CODE"
"check domain policy";"CODE"
"abc 1 a 2 5";"-"
"b2 c2";"-"
"wait at least 5 minutes before showing the same info again";"CODE"
"b4 b5 c5";"-"
"ui controls";"-"
"tate";"-"
"warning text";"-"
"tandard panel deny option";"-"
"advanced panel";"-"
"todo parse bogus reason text and translate";"TASK"
"these properties are normally set by the";"IRRE"
"validatingresolver in the constructor";"CODE"
"make sure that error here will not stop further processing";"-"
"dns is forced to go through a proxy so skip any further settings";"IRRE"
"enabled forward of dns";"CODE"
"initially created with localhost setting";"IRRE"
"then set the desired address and port";"TASK"
"reread system dns configuration";"CODE"
"now reset an eventually present custom resolver";"IRRE"
"or the default otherwise";"CODE"
"name resolution failed for backup dns resolver";"CODE"
"try with the ip address of the default backup resolver";"CODE"
"this shouldn t happen but log anyway";"META"
"this shouldn t be thrown since we don t do any dns querying in";"CODE"
"here this is why we take an inetsocketaddress as a param";"TASK"
"if we are not in redundant mode we should wait a bit and see how this";"IRRE"
"goes if we get a reply we could return bravely";"IRRE"
"we are done";"CODE"
"we are definitely in redundant mode now";"IRRE"
"check if it is time to end redundant mode";"IRRE"
"primary dns is still feeling shaky we reinit redemption";"TASK"
"tatus in case we were about to cut the server some slack";"CODE"
"primary server replied first we let him redeem some dignity";"CODE"
"yup it s now time to end dns redundant mode";"IRRE"
"populate with new servers after refreshing configuration";"CODE"
"we didn t find any responses and the answer is nxdomain then";"CODE"
"we may want to check with the backup resolver for a second opinion";"CODE"
"if we received nodata same as noerror and no response records for";"CODE"
"an aaaa or a naptr query then it makes sense since many existing";"CODE"
"domains come without those two";"CODE"
"if the backup resolvers had already replied we ignore the";"CODE"
"reply of the primary one whatever it was";"CODE"
"if there was a response we re only done if it is satisfactory";"CODE"
"yes a second thread in the thread it s ugly but it works";"CODE"
"and i do want to keep code simple to read this whole parallel";"CODE"
"resolving is complicated enough as it is";"-"
"keep this so that we can rethrow it";"CODE"
"if the default resolver has already replied we";"CODE"
"ignore the reply of the backup ones";"-"
"contrary to responses from the primary resolver";"CODE"
"in this case we don t care whether the response is";"CODE"
"atisfying if it isn t there s nothing we can do";"CODE"
"we don t care";"CODE"
"int preferenceindex 1 using a native popup mechanism";"CODE"
"preferenceindex showing images";"CODE"
"registers an implementation of the alertuiservice";"TASK"
"registers an implementation of the imageloaderservice";"TASK"
"create the ui service";"IRRE"
"don t block the ui thread with registering services as";"CODE"
"they are executed in the same thread as registering";"CODE"
"uiserviceimpl also implements shutdownservice";"TASK"
"check for preferred wizard";"CODE"
"in case we found any add them in this container";"CODE"
"is it the preferred protocol";"-"
"obtain the lastcallconferenceaccount property from the";"CODE"
"configuration service";"-"
"we re interested only in the savedaccountid";"CODE"
"initialize the single window container if we re in this case this";"CODE"
"should be done before initializing the main window because he ll";"CODE"
"search for it";"CODE"
"initialize the main window";"CODE"
"initialize main window bounds";"CODE"
"register the main window as an exported window so that other bundles";"CODE"
"could access it through the uiservice";"-"
"initialize the login manager";"IRRE"
"because tofront method gives us no guarantee that our frame would";"IRRE"
"go on top we ll try to also first request the focus and set our";"CODE"
"window always on top to put all the chances on our side";"CODE"
"show tooltips immediately and specify a custom background";"-"
"we need to set the uidefaults class loader so that it may access";"CODE"
"resources packed inside osgi bundles";"-"
"workaround for sc issue 516";"CODE"
"gnome scscrollpane has rounded and rectangular borders";"-"
"check the islookandfeeldecorated property and set the";"IRRE"
"appropriate default decoration";"CODE"
"workaround for bug 6396936 http bugs sun com winl f font for";"CODE"
"text area is incorrect";"-"
"we don t care if the source service is not a plugin component";"CODE"
"close chats so we do not start removing plugins one by one";"CODE"
"when we start to stop the application";"-"
"just exit the shutdown hook in felix ensures that we stop";"CODE"
"everything nicely";"-"
"if still no frame create it outside event dispatch thread";"TASK"
"if it is a one on one conversation this would be a metacontact";"CODE"
"if not we are talking to more then one person and we return null";"IRRE"
"is user do not want to be bodered with this dialog skip";"CODE"
"or if user is already using master password";"CODE"
"give some time ui to load before showing another dialog";"CODE"
"do fall through";"CODE"
"open configuration of master password";"CODE"
"suppresswarnings unchecked defaulttablemodel legacy code";"OUTD"
"all items are now instantiated and could safely load the skin";"CODE"
"enable delete button from the ui";"CODE"
"add the incoming panel to our jpanel display that is managed by";"TASK"
"the cardlayout layout manager";"-"
"place a reference to it in the model";"CODE"
"get the hashtable reference to the panel that should";"CODE"
"be displayed if the identifier passed in is null then close";"CODE"
"the dialog";"-"
"show the panel in the dialog";"CODE"
"create the buttons with a separator above them then place them";"IRRE"
"on the east side of the panel with a small amount of space between";"-"
"the back and the next button and a larger amount of space between";"META"
"the next button and the cancel button";"META"
"lots of things may fail on page next like for example parameter";"IRRE"
"validation or account initialization if this is what happened here";"IRRE"
"just show an error and leave everything on the same page so that";"IRRE"
"the user would have the chance to correct errors";"-"
"first get the hashtable reference to the panel that should";"CODE"
"be displayed";"-"
"if we couldn t find the panel that should be displayed return";"IRRE"
"false";"-"
"open right button menu when right mouse is pressed";"META"
"check if the context of the buffer is consistent or else recreate it";"IRRE"
"create a buffer in the best available format";"CODE"
"save the context";"CODE"
"draw in the buffer";"CODE"
"draw the buffer in the graphics object";"CODE"
"if there is text";"-"
"if there is an icon and no text";"TASK"
"g2 setstroke new basicstroke 0 5f width";"IRRE"
"basicstroke cap round end cap";"CODE"
"basicstroke join round join style";"-"
"10 0f miter limit";"-"
"new float 1 0f 1 0f dash pattern";"CODE"
"reduce the width of the scrollpane by the insets so that the";"IRRE"
"popup is the same width as the combo box";"-"
"enables delete button";"CODE"
"else horizontal";"-"
"else horizontal";"-"
"sprite buffer for the arrow image of the left button";"META"
"initialize the color array";"IRRE"
"fill the background first";"-"
"then draw the arrow";"CODE"
"adjust color mapping for pressed button state";"META"
"draw the image for a vertical split";"CODE"
"draw the image for a horizontal split";"CODE"
"by simply swaping the i and j axis";"CODE"
"except the drawline call this code is";"CODE"
"identical to the code block above this was done";"CODE"
"in order to remove the additional orientation";"TASK"
"check for each pixel";"CODE"
"nothing needs";"TASK"
"to be drawn";"-"
"set the color from the";"IRRE"
"color map";"-"
"draw a pixel";"CODE"
"sprite buffer for the arrow image of the right button";"META"
"initialize the color array";"IRRE"
"fill the background first";"-"
"then draw the arrow";"CODE"
"adjust color mapping for pressed button state";"META"
"draw the image for a vertical split";"CODE"
"draw the image for a horizontal split";"CODE"
"by simply swaping the i and j axis";"CODE"
"except the drawline call this code is";"CODE"
"identical to the code block above this was done";"CODE"
"in order to remove the additional orientation";"TASK"
"check for each pixel";"CODE"
"nothing needs";"TASK"
"to be drawn";"-"
"set the color from the";"IRRE"
"color map";"-"
"draw a pixel";"CODE"
"check if the context of the buffer is consistent or else recreate it";"IRRE"
"create a buffer in the best available format";"CODE"
"save the context";"CODE"
"draw the buffer in the graphics object";"CODE"
"load the defaults registers with notification service";"CODE"
"if the text area is empty we close the dialpad";"IRRE"
"put the defaults for macosx";"CODE"
"if this window is not the focus window or if the event is not";"CODE"
"of type pressed we have nothing more to do here";"TASK"
"request the focus in the call field if a letter is typed";"CODE"
"we re dispatch the event to call field";"IRRE"
"we don t want to dispatch further this event";"CODE"
"we only add buttons with images";"TASK"
"do the superclass behavior first";"CODE"
"paint the image";"CODE"
"paint the background with the chosen color";"CODE"
"sets the title to application name";"IRRE"
"fix for some windows managers gnome3";"CODE"
"we do nothing for it";"CODE"
"if there s no other focused window we request the focus";"CODE"
"in the contact list";"CODE"
"if some other window keeps the focus we ll wait until it s";"CODE"
"closed";"CODE"
"if the focused window is null or it s the shared owner frame";"CODE"
"which keeps focus for closed dialogs without owner we ll";"CODE"
"request the focus in the contact list";"CODE"
"at startup we cannot hide yet";"TASK"
"topsplitpane setborder null remove default borders";"IRRE"
"indicates if the big call button outside the search is enabled";"IRRE"
"obtain the presence operation set";"IRRE"
"obtain the basic instant messaging operation set";"CODE"
"add to all instant messaging operation sets the message";"TASK"
"listener implemented in the contactlistpanel which handles";"TASK"
"all received messages";"-"
"obtain the sms messaging operation set";"IRRE"
"obtain the typing notifications operation set";"IRRE"
"add to all typing notification operation sets the message";"TASK"
"listener implemented in the contactlistpanel which handles";"TASK"
"all received messages";"-"
"obtain the basic telephony operation set";"IRRE"
"obtain the multi user chat operation set";"IRRE"
"obtain the ad hoc multi user chat operation set";"IRRE"
"obtain file transfer operation set";"IRRE"
"obtain the presence operation set";"IRRE"
"obtain the basic instant messaging operation set";"CODE"
"obtain the sms messaging operation set";"IRRE"
"obtain the typing notifications operation set";"IRRE"
"add to all typing notification operation sets the message";"TASK"
"listener implemented in the contactlistpanel which handles";"TASK"
"all received messages";"-"
"obtain the basic telephony operation set";"IRRE"
"obtain the multi user chat operation set";"IRRE"
"obtain the ad hoc multi user chat operation set";"IRRE"
"obtain file transfer operation set";"IRRE"
"request the focus in the contact list panel which";"CODE"
"permits to search in the contact list";"CODE"
"this contactlistpanel getcontactlist";"CODE"
"requestfocus";"CODE"
"if we have found the accountindex for this protocol provider";"CODE"
"return this index";"CODE"
"if there s no stored accountindex for this protocol";"CODE"
"provider calculate the index set it in the configuration";"IRRE"
"ervice and return it";"IRRE"
"search for plugin components registered through the osgi bundle";"CODE"
"context";"-"
"if there s another currently focused window we prevent";"CODE"
"this frame from steeling the focus this happens for";"CODE"
"example in the case of a master password window which is";"CODE"
"opened before the contact list window";"CODE"
"topping a bundle doesn t leave the time to the felix thread to";"CODE"
"properly end all bundles and call their activator stop methods";"IRRE"
"if this causes problems don t uncomment the following line but";"CODE"
"try and see why felix isn t exiting suggesting is it running";"CODE"
"in embedded mode";"-"
"system exit 0";"CODE"
"on mac systems the application is not quited on window close so we";"CODE"
"don t need to warn the user";"TASK"
"starts a chat with the currently selected contact";"CODE"
"starts a chat with the currently selected contact";"CODE"
"remove the default escape key mapping as its a special";"CODE"
"one for the main frame and the contactlist";"CODE"
"if not specified explicitly when added to the tabbed pane the first";"TASK"
"chat panel should rest the selected component";"CODE"
"the toolbar would be only visible when a chat is opened";"IRRE"
"string chatwindowtitle gettitle";"CODE"
"todo auto generated method stub";"TASK"
"if there s no chat panel selected we do nothing";"CODE"
"make sure we override it if we have the same";"CODE"
"if our account doesn t have a registered protocol provider we return";"CODE"
"offline";"-"
"if the event is caused by a bundle being stopped we don t want to";"CODE"
"know";"-"
"we don t care if the source service is not a protocol provider";"CODE"
"if the protocol provider is hidden we don t want to show it in the";"CODE"
"list";"-"
"add or remove the protocol provider from our accounts list";"CODE"
"add a presence listener in order to listen for any status";"TASK"
"changes";"-"
"if the unregistered account is a disabled one we don t want to";"CODE"
"remove it from our list";"CODE"
"if this is an invalid index we have nothing to do here";"CODE"
"we need to translate coordinates here";"TASK"
"fire an event that account is enabled disabled";"-"
"if this is the first account in our menu";"CODE"
"if we already have other accounts";"CODE"
"if the new account protocol name is before the name of the";"CODE"
"menu we insert the new account before the given menu";"CODE"
"if we have the same protocol name we check the account";"-"
"name";"-"
"if we already have other accounts";"CODE"
"apparently value could be null";"IRRE"
"disable commit button as the account is readonly";"CODE"
"we will just show its values";"IRRE"
"we do not need it anymore";"OUTD"
"we do not need it anymore";"OUTD"
"this shouldn t happen since we re providing no parameter string";"CODE"
