clean_comment;v1;v2;v3;v4;v5;v6;label
so we stop listening it is possible but very unlikely that other;-8.543708;-6.442979;6.1394577;-2.711944;5.6835012;-0.5085224;META
events not triggered by us are received while we re off the channel;-12.923868;-5.749544;0.4115404;-2.2069118;1.2129204;2.6422353;CODE
but that would be a very bizzare case i guess we got to live;-24.473152;-2.2572916;20.400812;-8.162437;4.932164;-3.5870795;META
with the risk;12.596079;-1.1081967;3.0086124;-0.8077369;0.43113735;0.00895396;-
if there is no root there is definitely something wrong;-10.815981;-4.5775023;6.2116575;-1.4196814;-0.7973316;7.2139893;IRRE
really broken file will create it again;-3.157614;-2.7419953;6.5531034;2.304244;3.4934359;1.5424571;IRRE
write the contact list so that it is there for the parser;-6.1523595;-7.6236362;-3.796731;2.2017834;0.84327686;-4.8017693;CODE
if there is root lets parse it;-0.9559232;-4.6320972;0.05207865;-0.9241971;-1.7703451;8.213313;IRRE
parse the group node and extract all its child groups and;-4.803409;-4.5381756;-10.1121235;0.65381205;-2.4302173;-5.369689;IRRE
contacts;14.862835;0.04051914;0.15136288;-6.329539;-0.35028303;-0.27192163;-
now save the contact list in case it has changed;-3.6344323;-6.3264;-2.5752754;3.4657817;0.43375504;1.6522311;CODE
catch everything because we must not disturb the thread;-11.715221;-7.786455;8.293109;1.6546752;7.292617;-1.1435642;CODE
initializing the meta cl for a new provider with null point;-7.4343095;-1.982825;-8.076259;6.037593;-0.7753666;-5.884878;CODE
exceptions or others of the sort;5.004442;-1.7343514;1.7732998;1.8179772;-0.97879416;-4.412467;CODE
now that we re done updating the contact list we can start;-14.99332;-9.425121;-0.17974432;1.121649;2.5591152;5.819546;CODE
listening;14.48728;-0.014388223;0.25778252;-3.2204103;1.6406204;1.2849315;-
again;15.282395;-0.25214392;1.5686257;-3.1715636;-0.12916277;1.1796974;-
first resolve the group itself unless this is the meta contact list;-9.275436;-3.809283;-5.988743;2.4729488;-3.2745676;-0.93889403;CODE
root which is already resolved;6.853832;-2.9306998;0.77415377;0.30813158;-0.6539036;1.1589444;CODE
in this map we store all proto groups that we find in this meta group;-15.4560585;-5.0130253;-6.8315554;-6.569095;-1.8302095;-3.4803357;CODE
unless this is the mcl root in order to pass them as parent;-12.933002;-5.6857524;0.57714015;-2.332967;-2.1520061;1.0667288;CODE
references to any subgroups;9.299387;-0.9660438;-0.9228699;-0.4244311;0.38248745;-1.6986711;CODE
create the meta group;11.5317745;-0.8264794;-2.5922844;-0.905666;-0.72686684;-1.0768625;IRRE
extract and load one by one all proto groups in this meta group;-7.172874;-2.502773;-8.655262;-4.300191;-3.620986;-7.025549;CODE
try to find the parent proto group for the one we re;-6.2031837;-8.415594;-2.843998;1.4084758;-3.4407773;0.73705685;CODE
currently;13.793438;-0.49415988;2.088285;-4.8236446;0.7125734;0.1729022;-
parsing;14.912567;-0.2463104;0.2755311;-6.911433;-0.099641524;0.101457305;-
create the meta group if it is not already created;-1.0301207;-6.061303;-3.7813764;0.6728734;-2.1453354;1.7504499;IRRE
only create metacontact group if we have a matching;-0.77401465;-4.058058;-1.928459;0.99690974;-1.4150369;1.6621081;IRRE
proto group skips creating empty groups or for non;0.9834399;0.5950002;-0.3025126;-0.05888562;0.5738911;-2.8123326;CODE
existing providers;14.251215;-0.12732276;-0.17114855;-4.9295607;0.40832812;0.05242276;-
create the proto group;12.240881;-0.5594068;-1.7352045;-2.0312123;-0.5158374;-0.95937514;IRRE
if this is not the meta contact list root and if it doesn t;-14.414451;-4.1431704;0.6930963;-2.6810808;-9.20602;8.850067;CODE
contain proto groups of the account we re currently loading then;-4.127297;-4.73259;-1.8178266;-0.8661416;-0.11742621;-0.8042532;CODE
we don t need to recurese it since it cound contain any child;-18.031532;-6.4927993;10.963696;-2.7026627;5.981099;-2.0526342;TASK
contacts of the same account;8.650797;-2.7109966;-1.7738255;-0.08968584;-2.3443391;-1.3414222;-
we have parsed groups now go over the children;-2.4674928;-5.816519;0.49529198;0.8038709;1.9207742;1.2968218;IRRE
go over every meta contact extract its details and its encapsulated;-7.5574956;-2.6400738;-4.2220354;3.3791513;-1.275121;-4.597135;-
proto contacts;13.400123;1.0446281;0.8981705;-4.800644;-0.28841385;-0.1047263;-
extract a map of all encapsulated proto contacts;1.1204582;-2.171501;-5.634761;1.6580064;-2.908567;-7.5281334;-
if the size of the map is 0 then the meta contact does not;-14.247053;-7.025736;-3.9400973;-2.4824126;-9.479892;4.89473;CODE
contain any contacts matching the currently parsed account;3.4870331;-5.109317;-4.973979;1.164312;-3.8088253;-1.7287698;IRRE
extract contact details;11.864933;-0.1774879;-1.824659;-2.3666954;-0.55097246;-0.07661128;-
catch any exception from loading contacts;6.275556;-3.2642856;-1.6265212;-0.47143167;1.066819;-0.6474974;CODE
that will prevent loading the contact;6.807942;-4.156762;0.22971798;0.12604596;1.326725;-1.1659545;CODE
pass the parsed proto contacts to the mcl service;-2.069389;-2.9826062;-7.2006254;5.7558107;-2.7418013;-3.3620758;IRRE
if we fail parsing a meta contact we should remove it so;-16.299482;-6.943001;1.9747084;-1.3106154;0.6272952;10.594984;-
that;14.527037;-0.72676235;1.5903946;-6.2027225;-0.18957128;0.4179296;-
it stops causing trouble and let other meta contacts load;-12.506527;-0.95913875;5.770745;2.2971401;7.6869955;-3.5919168;CODE
remove the node so that it doesn t cause us problems again;-12.2460785;-9.237645;5.6823297;0.76635396;3.794199;-3.273953;CODE
hmm failed to remove the faulty node we must be;-11.760962;-3.2262158;8.491919;5.2009144;0.54252124;2.1992514;TASK
in some kind of serious troble but i don t see;-14.504713;-4.330389;18.096521;-0.78440046;2.001417;-3.645982;CODE
what we can do about it;4.7174163;-4.2065773;4.4999943;-3.0413125;0.34861213;2.043152;CODE
now last thing that s left to do go over all subgroups if any;-17.028368;-6.069783;0.81991243;-0.3472073;-0.25407308;0.037393495;TASK
recurse for every sub meta group;6.6388464;-0.8672338;-2.008012;-1.0078747;-0.7065468;-1.2774436;CODE
catch everything and bravely continue with remaining groups;-5.488791;0.33533257;2.8007107;2.4157028;2.4714592;-2.493765;CODE
and contacts;13.680456;-0.13644327;-0.07542958;-5.6854196;-0.45865494;-0.28896227;-
remove the node so that it doesn t cause us problems again;-7.55531;-7.5918784;4.7433376;-1.0509912;3.0457292;-2.8062377;CODE
hmm failed to remove the faulty node we must be;-7.156467;-2.6410708;7.057073;2.602291;0.366499;1.7012372;TASK
in some kind of serious troble but i don t see;-16.307953;-4.605814;19.204517;-0.23930027;2.155009;-3.8349118;CODE
what we can do about it;4.1165695;-4.474325;4.7570305;-2.6386786;0.39830124;2.2094765;CODE
for some reason every now and then we would get a null nodename;-16.26372;-6.057124;8.153294;-1.4061384;2.8065987;2.171803;CODE
go figure;13.460912;0.85906726;1.316389;-5.032125;0.53533554;0.20004809;-
this is a duplicate mark for removal and continue;-0.9953401;-3.7113457;3.3129053;0.24555479;1.2217343;-1.4187669;CODE
remove all duplicates;10.32212;-1.3521417;0.0835867;-1.974141;0.57941175;-0.6146496;-
set attributes;13.902502;-0.08576128;-0.45574984;-4.2612095;0.081972204;0.13167945;IRRE
append persistent data child node;8.541903;0.9582195;-3.3938594;-1.4108753;-0.8853722;-0.4896641;CODE
set attributes;13.812984;-0.13158873;-0.6521613;-3.065745;0.19943552;0.3001916;IRRE
append persistent data child node;7.2052;1.158815;-4.2659082;0.45133674;-0.989039;-0.4591097;CODE
create the display name node;8.793066;-0.518682;-5.078528;1.6807117;-1.899092;-1.8835726;IRRE
create and fill the proto groups node;3.1516087;-1.6778884;-5.4843826;3.2239127;0.97848654;-4.2730207;IRRE
ignore if the proto group is not persistent;-0.54680437;-4.933668;-2.6417446;3.119053;-4.104969;2.6795235;-
create and fill the sub groups node;3.2334502;-2.154751;-5.853586;3.541357;0.5864389;-4.3266945;IRRE
create and fill child contacts node;4.4416175;0.48329484;-4.7093678;1.3352447;0.9584265;-2.7048516;IRRE
if the parent group is not persistent do not do anything;-15.040021;-8.347649;-1.6969464;0.24826033;-2.17842;6.852087;CODE
cause its missing in xml;8.266546;-1.0976037;1.8403003;-3.761444;-0.44027746;-0.70391816;-
not sure what to do in case of null we ll be logging an internal;-14.978418;-5.7789726;6.533966;-9.310221;1.5654005;-0.17102537;CODE
err for now and that s all;2.9632986;-0.35105813;8.370689;-1.4990735;0.65696573;-0.18712628;CODE
if the group was created as an encapsulator of a non persistent proto;-10.52264;-6.1761856;-3.48603;0.6175805;-8.394803;1.7104355;IRRE
group then we ll ignore it;5.167436;-1.8874071;5.6155376;-3.7159805;1.5437696;1.7888608;-
not sure what to do in case of null we ll be logging an internal;-14.978418;-5.7789726;6.533966;-9.310221;1.5654005;-0.17102537;CODE
err for now and that s all;2.9632986;-0.35105813;8.370689;-1.4990735;0.65696573;-0.18712628;CODE
not sure what to do in case of null we ll be loggin an internal err;-18.732088;-4.0629897;6.890087;-9.215343;2.3000748;-0.819463;CODE
for now and that s all;4.514042;-0.9405858;7.018858;-2.8826942;0.7327437;0.46653435;CODE
remove the meta contact node;9.886383;-0.4837091;-2.6904976;-1.5867286;-1.3305755;-0.7510808;-
in case of null this is a case of moving from non persistent group;-8.883688;-2.0387487;1.1499623;-3.0662093;-2.0536695;-0.30730423;CODE
to a persistent one;11.594955;-0.88194704;0.87598586;-2.5890622;-1.2010663;-0.41824633;-
create new node;12.484125;-0.033484183;-0.21940203;-2.920682;0.798041;0.49466407;IRRE
find the first protogroup originating from the same account as;-3.8355553;-4.5841703;-4.2157574;4.3086905;-4.1332965;-3.199885;CODE
the one that the current contact belongs to;3.105992;-4.631367;-2.3076835;0.38230696;-4.585515;1.3462579;-
not sure what to do in case of null we ll be loggin an internal err;-18.732088;-4.0629897;6.890087;-9.215343;2.3000748;-0.819463;CODE
for now and that s all;4.514042;-0.9405858;7.018858;-2.8826942;0.7327437;0.46653435;CODE
remove the meta contact node;9.886383;-0.4837091;-2.6904976;-1.5867286;-1.3305755;-0.7510808;-
not sure what to do in case of null we ll be loggin an internal err;-18.732088;-4.0629897;6.890087;-9.215343;2.3000748;-0.819463;CODE
for now and that s all;4.514042;-0.9405858;7.018858;-2.8826942;0.7327437;0.46653435;CODE
not sure what to do in case of null we ll be logging an internal err;-17.598854;-5.4528475;5.8801737;-10.355095;1.5082232;-0.58404076;CODE
for now and that s all;4.514042;-0.9405858;7.018858;-2.8826942;0.7327437;0.46653435;CODE
i don t think we could do anything else in addition to updating the;-14.265522;-7.750677;12.609435;-6.138643;4.209531;-0.9202092;CODE
persistent data;13.969273;0.09388669;0.7199342;-3.51128;0.3394093;0.3056561;-
not sure what to do in case of null we ll be logging an internal err;-19.373093;-5.7601285;6.187179;-10.400019;1.6166031;-0.5811497;CODE
for now and that s all;3.968763;-0.9976307;7.387669;-2.516366;0.7986585;0.5264812;CODE
indicates add;12.46542;0.63634914;0.806969;-1.5063448;0.11258046;0.79382527;TASK
indicates remove;12.868759;0.9287841;0.9465029;-2.9109635;0.313514;0.47802195;-
indicates removing multiple values at one time;2.6721823;-2.7530508;-0.5549685;-0.6259569;-0.8181174;-2.1749954;IRRE
removing one value only;9.012841;-1.1759418;0.30534828;-0.6674568;-0.48428413;-0.48825675;IRRE
indicates change;12.367369;0.1235249;1.9450123;-1.4734175;0.48767832;0.64374983;-
not sure what to do in case of null we ll be logging an internal err;-19.373093;-5.7601285;6.187179;-10.400019;1.6166031;-0.5811497;CODE
for now and that s all;3.968763;-0.9976307;7.387669;-2.516366;0.7986585;0.5264812;CODE
ignore not interested in such kind of events;-0.31521088;-3.588528;4.4412575;-1.6690547;2.1646945;-3.6513646;CODE
not sure what to do in case of null we ll be logging an internal err;-19.373093;-5.7601285;6.187179;-10.400019;1.6166031;-0.5811497;CODE
for now and that s all;3.968763;-0.9976307;7.387669;-2.516366;0.7986585;0.5264812;CODE
the fact that a contact group was added or removed to a;-3.0922463;-3.598877;-2.7651672;0.76117396;-5.368702;-2.1027238;OUTD
meta group may imply substantial changes in the child contacts;-7.0457044;-1.0743097;2.326837;3.0526025;3.4438348;-7.1068645;CODE
and the layout of any possible subgroups so;2.2186177;-3.7257137;-1.2192327;0.2076243;-1.3347743;-3.4397817;-
to make things simple we ll remove the existing meta contact;-1.5487827;-3.2206793;1.7687031;-2.2821372;2.4664693;-2.5968237;-
group node and re create it according to its current state;-2.9114366;-3.1584435;-3.279932;1.7367222;-1.1467882;-2.4021916;IRRE
not sure what to do in case of null we ll be logging an internal err;-19.373093;-5.7601285;6.187179;-10.400019;1.6166031;-0.5811497;CODE
for now and that s all;3.968763;-0.9976307;7.387669;-2.516366;0.7986585;0.5264812;CODE
not sure what to do in case of null we ll be logging an internal err;-19.373093;-5.7601285;6.187179;-10.400019;1.6166031;-0.5811497;CODE
for now and that s all;3.968763;-0.9976307;7.387669;-2.516366;0.7986585;0.5264812;CODE
update parent attr and append the contact to its new parent node;-4.694953;-2.173812;-8.217911;1.2638311;-0.7635877;-4.717435;CODE
todo store metacontact avatar;8.4479265;2.8178635;0.48459446;-2.183675;1.111014;-0.31006792;TASK
if we got here then metacontact is not in this list;-5.346151;-5.0818453;1.6749948;-1.8350677;-0.42660117;6.371336;CODE
if we got here then metacontactgroup is not in this list;-6.4862423;-4.5877767;0.92248684;-0.16981792;-0.24232157;6.6486616;CODE
first go through the contacts that are direct children of this method;-7.1090913;-6.0382214;-2.0164313;2.156369;-0.9015899;-2.8377597;CODE
if we didn t find it here let s try in the subgroups;-18.210178;-8.045351;8.111284;-3.0429473;0.009577354;9.306286;CODE
if we didn t find it here let s try in the subgroups;-18.210178;-8.045351;8.111284;-3.0429473;0.009577354;9.306286;CODE
first go through the contacts that are direct children of this method;-7.1090913;-6.0382214;-2.0164313;2.156369;-0.9015899;-2.8377597;CODE
if we didn t find it here let s try in the subgroups;-18.210178;-8.045351;8.111284;-3.0429473;0.009577354;9.306286;CODE
first go through the contacts that are direct children of this method;-7.1090913;-6.0382214;-2.0164313;2.156369;-0.9015899;-2.8377597;CODE
if we didn t find it here let s try in the subgroups;-18.210178;-8.045351;8.111284;-3.0429473;0.009577354;9.306286;CODE
first check here in this meta group;5.239097;-0.98876995;1.4956925;-1.9949745;1.0605755;-1.5445487;CODE
if we didn t find it here let s try in the subgroups;-10.461531;-6.1072483;6.269622;-4.586543;-0.10012278;6.9395127;CODE
et this group as a callback in the meta contact;3.0101242;-0.8682923;-2.55683;-0.4619553;-1.7945211;-3.2017603;CODE
no need to synch it s not a disaster if s o else reads the old copy;-19.30943;0.8811504;6.828541;-10.1905155;0.64120007;-2.1042514;TASK
no need to synch it s not a disaster if s o else reads the old copy;-19.30943;0.8811504;6.828541;-10.1905155;0.64120007;-2.1042514;TASK
this is new and empty group we can store it as user want this;-7.727855;-1.052421;1.3298473;-3.8881989;1.7452332;0.8544923;CODE
create the uid;13.783955;-0.34475636;-0.51067924;-3.8217568;-0.51779544;0.05544664;IRRE
first try to ask the capabilities operation set if such is;-0.3170633;-5.1879864;-1.8776811;-1.7588029;0.008803269;1.5993041;IRRE
available;15.019556;-0.0972344;0.5108304;-5.9035683;0.16662614;0.20142278;-
if the current default contact supports the requested operationset;-5.3244395;-5.0065823;-7.6739254;6.315909;-6.191165;6.8841796;CODE
we use it;10.601273;-2.1846704;5.6491785;-2.008755;2.0715299;2.412716;-
first try to ask the capabilities operation set if such is;-9.330294;-8.426111;-3.268477;3.017589;0.28169066;2.9737823;IRRE
available;15.019556;-0.0972344;0.5108304;-5.9035683;0.16662614;0.20142278;-
first try to ask the capabilities operation set if such is;-9.330294;-8.426111;-3.268477;3.017589;0.28169066;2.9737823;IRRE
available;15.019556;-0.0972344;0.5108304;-5.9035683;0.16662614;0.20142278;-
we filter to care only about contact which support;-8.266375;-6.784234;3.8486829;4.0769224;5.3777266;-1.2046752;-
the needed opset;10.336403;-0.8572283;1.647468;0.10369195;1.0062306;-1.6557428;IRRE
the caller is willing to perform a lengthy operation so let s;-13.421131;-6.4539657;5.3174186;-0.9418382;4.496129;-1.9920942;CODE
query the proto contacts for their avatars;2.5696714;-2.154189;-3.9804153;3.496799;-1.601053;-5.017397;CODE
if we got a result from the above then let s cache and;-14.3015995;-8.578479;2.1514227;-3.147718;-1.4256145;6.74279;CODE
return it;15.189724;-0.28329235;2.2469983;-4.2665405;0.16472045;0.44087568;IRRE
if we get here then the caller is probably not willing to perform;-20.476387;-11.007811;10.277281;-4.844961;5.6745725;5.8442683;IRRE
network operations and opted for a lazy retrieve or the;-6.849797;-0.80046356;-0.19397667;1.9419892;1.8377335;-7.744101;CODE
queryavatar method returned null because we are calling it too often;-6.1525416;-4.0115924;4.483634;1.4810822;4.0251913;0.07352416;IRRE
we already have a cached avatar so let s return it;-6.878338;-7.7034636;2.9607434;-1.2454652;0.90180296;5.697277;CODE
no cached avatar let s try the file system for previously stored;-8.697151;-1.3368062;-1.4758464;1.7859613;0.6391402;1.2783861;CODE
ones unless we already did this;4.1480684;-4.6902285;2.439085;-1.0420059;1.1964092;6.0454473;CODE
re init the default contact;8.539431;-0.5875692;-0.5997652;-1.2663925;0.6170119;-0.3472953;IRRE
if this is our first contact and we don t already have a display;-21.774742;-12.079739;2.0670354;-4.9923196;-8.748879;13.003968;CODE
name use theirs;11.315933;0.110711075;2.0016155;-0.45537943;-0.0748182;-0.11454567;IRRE
be careful not to use setdisplayname here cause this will;-4.8969164;-1.6843739;6.3120575;1.496745;6.9143634;-2.1837046;IRRE
bring us into a deadlock;2.944953;-2.0245147;6.115858;-0.23072423;-0.14735648;0.46702543;CODE
check if the capabilities operation set is available for this;0.5597942;-5.22766;-7.1673603;1.6918645;-3.538121;1.0493319;IRRE
contact and add a listener to it in order to track capabilities;-5.3231072;-5.4459424;-3.7045126;-1.2550654;3.7956314;-5.4673395;TASK
changes for all contained protocol contacts;6.549564;-1.3948172;-3.0849237;0.38029838;-1.1265765;-3.258037;CODE
first lightremove or otherwise we won t be able to get hold of the;-15.43734;-6.0883684;4.965543;1.0601206;1.0818058;-1.8606207;CODE
contact;14.618229;0.05379861;0.34085077;-6.907427;-0.30079228;-0.104489364;-
now read it and the contact would be automatically placed;-2.3525996;-4.731739;2.2697484;0.8522806;0.5857797;0.3198005;IRRE
properly by the containing group;8.6621895;-1.6487606;0.6923563;-0.69870543;-1.1353939;-1.444585;-
check if the capabilities operation set is available for this;0.5597942;-5.22766;-7.1673603;1.6918645;-3.538121;1.0493319;IRRE
contact and add a listener to it in order to track capabilities;-9.535513;-6.633421;-4.5770926;0.5191221;4.7042913;-6.5055704;TASK
changes for all contained protocol contacts;4.8788133;-1.7124767;-3.828234;2.4928074;-1.2742041;-3.8215036;CODE
if the default contact has been modified set it to null;-8.128525;-4.9893565;-3.9531178;3.576383;-4.2510223;6.5927362;IRRE
if the default contact has been modified set it to null;-8.128525;-4.9893565;-3.9531178;3.576383;-4.2510223;6.5927362;IRRE
this should not happen because this method is called explicitly for;-6.5967526;-4.634639;9.0072155;-1.0041174;6.6595826;-2.5144665;CODE
events coming from the capabilities operation set;2.4766443;-1.8015758;-4.313693;2.831143;-0.77348155;-1.723089;IRRE
remove contact from opset to contact mapping;1.6533641;0.5670025;-6.5990896;4.7497983;-0.14007676;-0.9878286;IRRE
remove opsets that have no associated contact;1.6732341;-3.1849635;-2.3625839;3.792194;-0.1641242;-0.5680578;IRRE
initialize the meta contact list from what has been stored locally;-6.810501;-4.092327;-6.8662157;2.7841916;-1.2629361;-4.419064;IRRE
start listening for newly register or removed protocol providers;-3.8708823;-0.18646744;-7.3790855;2.9506683;3.0857453;-3.234548;CODE
first discover the icq service;7.415583;0.52682406;-2.7434974;1.0229964;-1.3547239;-0.053624585;CODE
then find the protocol provider service;7.763355;-1.0795192;-4.6477957;1.0562848;0.51321054;0.012109295;-
in case we found any retrieve the root groups for all protocol;-12.6301775;-8.374081;-4.6719227;-0.16309856;-2.1712313;0.90243804;CODE
providers and create the meta contact list;3.757239;-0.8091622;-5.504305;2.0873852;0.0879805;-4.3359423;IRRE
top listening to all currently installed providers;2.0028324;-3.4076922;-4.159624;1.9434978;1.8873005;-3.5861588;-
check if a non persistent presence operation set exists;-1.5011097;-3.1413527;-7.325568;3.2332835;-4.684209;2.416034;IRRE
find the parent group in the corresponding protocol;4.9343767;-4.266038;-6.30509;1.7647908;-3.718121;-2.5532763;CODE
we already have at least one group corresponding to the meta group;-10.239485;-9.466443;-1.3669833;1.6131824;-5.045144;0.35200647;CODE
we don t have a proto group here obtain a ref to the parent;-11.8639;-6.4760957;1.5625381;-2.9647682;-0.035856135;-1.6959269;CODE
proto group which may be created along the way and create it;-6.2423735;-3.8338742;1.5153893;-1.4328752;1.4231886;-3.5138817;IRRE
if persistent presence is not supported just bail;-1.858998;-3.991646;1.9187237;-0.81165785;0.11215281;5.0559025;-
we should have verified this earlier anyway;-0.43613827;-5.4026785;8.0719385;-1.1774505;4.4583807;1.1676008;CODE
special treatment for the root group stop the recursion;-0.560273;-1.929693;1.3303692;0.6014989;1.75425;-4.104952;CODE
create the proto group;11.979469;-0.6402779;-1.9993244;-1.1020713;-0.524289;-1.0029227;IRRE
create the group;13.778585;-1.3146409;-1.2656283;0.8398716;0.1281216;-0.0753496;IRRE
wait for a confirmation event;6.0674486;-3.454228;-2.443222;1.5130576;-0.22360314;1.4967048;CODE
whatever happens we need to remove the event collector;-7.7190795;-7.2390356;2.5900192;3.9717705;6.100195;1.3598509;TASK
and the ignore filter;10.20541;-1.6905115;0.4814462;1.9337022;-0.6479955;-1.1725005;-
th went wrong;9.647751;-1.3995483;6.5766525;-2.2978623;-0.6613116;2.401648;META
now add the proto group to the meta group;-1.9097905;-5.182411;-6.639039;6.753628;-1.0403275;-3.2964256;TASK
don t fire a proto cont added event we ll;-11.499151;-4.0743504;6.7646837;4.681321;1.6268014;2.120466;TASK
fire our own event here;4.2246513;-5.4510174;1.3799118;1.1449294;3.4826791;-0.7871491;-
make sure that parent does not already contain a subgroup called;-5.5053334;-7.1919045;-0.17768936;1.5265385;-0.48238572;-0.17442873;CODE
groupname;14.566591;0.78450376;-0.25082695;-3.5398445;-0.7959514;0.70470834;-
