"clean_comment";"label"
"check for silenced build";"CODE"
"force loading of all classes from factory";"CODE"
"directory of doc";"CODE"
"check touch file";"-"
"avoid to rewrite the file if the content didn t change";"CODE"
"activate kivy modules";"CODE"
"search all kivy module";"CODE"
"extract packages from modules";"CODE"
"create index";"IRRE"
"create index for all packages";"IRRE"
"note on displaying inherited members";"TASK"
"adding the directive inherited members to automodule achieves this";"CODE"
"but is not always desired please see";"META"
"https github com kivy kivy pull 3870";"CODE"
"template examples ref ref jump directly to examples";"-"
"don t take empty line";"CODE"
"ref mark";"-"
"search packages";"-"
"search modules";"CODE"
"create index for all module";"CODE"
"search examples";"-"
"try to found any example in framework directory";"CODE"
"extract filename without directory";"-"
"add a section";"TASK"
"put the file in";"-"
"generation finished";"TASK"
"coding utf 8";"-"
"kivy documentation build configuration file created by";"IRRE"
"sphinx quickstart on wed jan 21 22 37 12 2009";"-"
"this file is execfile d with the current directory set to its containing";"IRRE"
"dir";"-"
"the contents of this file are pickled so don t put values in the namespace";"CODE"
"that aren t pickleable module imports are okay they re removed";"CODE"
"automatically";"IRRE"
"all configuration values have a default value values that are commented out";"IRRE"
"serve to show the default value";"IRRE"
"if your extensions are in another directory add it here if the directory";"TASK"
"is relative to the documentation root use os path abspath to make it";"CODE"
"absolute like shown here";"-"
"general configuration";"-"
"add any sphinx extension module names here as strings they can be";"CODE"
"extensions coming with sphinx named sphinx ext or your custom ones";"-"
"in 4 0 and above has been added the support to substitute by s in the caption";"TASK"
"in 6 0 if the caption is a string it must contain s exactly once";"CODE"
"repo extlink caption s";"-"
"repo extlink caption";"-"
"todo configuration";"TASK"
"xxx hack mathieu monkey patch the autodoc module to give a better priority";"CODE"
"for classdocumenter or the cython class will be documented as attributeclass";"CODE"
"add any paths that contain templates here relative to this directory";"CODE"
"the suffix of source filenames";"CODE"
"the master toctree document";"CODE"
"general substitutions";"-"
"the default replacements for version and release also used in various";"CODE"
"other places throughout the built documents";"CODE"
"there are two options for replacing today either you set today to some";"CODE"
"non false value then it is used";"IRRE"
"today";"-"
"else today fmt is used as the format for a strftime call";"IRRE"
"suppress exclusion warnings";"-"
"the rest default role used for this markup text to use for all documents";"CODE"
"default role none";"CODE"
"if true will be appended to func etc cross reference text";"CODE"
"add function parentheses true";"TASK"
"if true the current module name will be prepended to all description";"CODE"
"unit titles such as function";"CODE"
"add module names true";"TASK"
"if true sectionauthor and moduleauthor directives will be shown in the";"META"
"output they are ignored by default";"IRRE"
"show authors false";"META"
"the name of the pygments syntax highlighting style to use";"CODE"
"options for html output";"IRRE"
"the style sheet to use for html and html help pages a file of that name";"CODE"
"must exist either in sphinx static path or in one of the custom paths";"CODE"
"given in html static path";"CODE"
"check for theme remove if when switched to rtd";"CODE"
"the name for this set of sphinx documents if none it defaults to";"CODE"
"project v release documentation";"CODE"
"html title none";"-"
"a shorter title for the navigation bar default is the same as html title";"CODE"
"html short title none";"-"
"the name of an image file within the static path to place at the top of";"CODE"
"the sidebar";"IRRE"
"the name of an image file within the static path to use as favicon of the";"CODE"
"docs this file should be a windows icon file ico being 16x16 or 32x32";"CODE"
"pixels large";"-"
"html favicon none";"-"
"add any paths that contain custom static files such as style sheets here";"TASK"
"relative to this directory they are copied after the builtin static files";"CODE"
"so a file named default css will overwrite the builtin default css";"CODE"
"if not a last updated on timestamp is inserted at every page bottom";"CODE"
"using the given strftime format";"CODE"
"if true smartypants will be used to convert quotes and dashes to";"OUTD"
"typographically correct entities";"IRRE"
"html use smartypants true";"-"
"custom sidebar templates maps document names to template names";"IRRE"
"html sidebars";"IRRE"
"additional templates that should be rendered to pages maps page names to";"TASK"
"template names";"-"
"html additional pages";"TASK"
"if false no module index is generated";"CODE"
"html use modindex true";"-"
"if false no index is generated";"-"
"html use index true";"-"
"if true the index is split into individual pages for each letter";"CODE"
"html split index false";"-"
"if true the rest sources are included in the html build as sources name";"CODE"
"html copy source true";"-"
"if true an opensearch description file will be output and all pages will";"CODE"
"contain a link tag referring to it the value of this option must be the";"TASK"
"base url from which the finished html is served";"TASK"
"html use opensearch";"CODE"
"if nonempty this is the file name suffix for html files e g xhtml";"CODE"
"html file suffix";"-"
"output file base name for html help builder";"IRRE"
"options for latex output";"IRRE"
"the paper size letter or a4";"CODE"
"latex paper size letter";"CODE"
"the font size 10pt 11pt or 12pt";"-"
"latex font size 10pt";"-"
"grouping the document tree into latex files list of tuples";"CODE"
"source start file target name title author document class manual";"CODE"
"the name of an image file relative to this directory to place at the top of";"CODE"
"the title page";"-"
"latex logo none";"-"
"for manual documents if this is true then toplevel headings are parts";"CODE"
"not chapters";"-"
"deprecated later use parts true";"OUTD"
"see sphinx builder latex validate config values";"IRRE"
"additional stuff for the latex preamble";"TASK"
"latex preamble";"-"
"documents to append as an appendix to all manuals";"CODE"
"latex appendices";"CODE"
"if false no module index is generated";"CODE"
"latex use modindex true";"-"
"if used in a code block the block has to be marked with";"-"
"parse literal otherwise it won t be replaced";"IRRE"
"doesn t work for code or code block";"CODE"
"coding utf 8";"-"
"add inheritance info if wanted";"TASK"
"kivy pygments style based on flask tango style";"CODE"
"the background color is set in kivystyle sty";"IRRE"
"no corresponding class for the following";"CODE"
"text class";"IRRE"
"whitespace underline ffffff class w";"IRRE"
"error ff0000 border ff0000 class err";"IRRE"
"other ff0000 class x";"IRRE"
"comment italic 666385 class c";"IRRE"
"comment preproc noitalic class cp";"IRRE"
"keyword bold 000000 class k";"IRRE"
"keyword constant bold 000000 class kc";"CODE"
"keyword declaration bold 000000 class kd";"IRRE"
"keyword namespace bold 000000 class kn";"IRRE"
"keyword pseudo bold 000000 class kp";"CODE"
"keyword reserved bold 000000 class kr";"IRRE"
"keyword type bold 000000 class kt";"IRRE"
"operator 582800 class o";"IRRE"
"operator word bold 000000 class ow like keywords";"IRRE"
"punctuation bold 000000 class p";"IRRE"
"because special names such as name class name function etc";"CODE"
"are not recognized as such later in the parsing we choose them";"CODE"
"to look the same as ordinary variables";"IRRE"
"name 000000 class n";"IRRE"
"name attribute c4a000 class na to be revised";"IRRE"
"name builtin 000000 class nb";"IRRE"
"name builtin pseudo aa1105 class bp";"CODE"
"name class db6500 class nc to be revised";"IRRE"
"name constant 000000 class no to be revised";"CODE"
"name decorator 888 class nd to be revised";"CODE"
"name entity ce5c00 class ni";"IRRE"
"name exception bold cc0000 class ne";"CODE"
"name function db6500 class nf";"CODE"
"name property 000000 class py";"IRRE"
"name label f57900 class nl";"IRRE"
"name namespace 000000 class nn to be revised";"IRRE"
"name other 000000 class nx";"IRRE"
"name tag bold 004461 class nt like a keyword";"IRRE"
"name variable 000000 class nv to be revised";"IRRE"
"name variable class 000000 class vc to be revised";"IRRE"
"name variable global 000000 class vg to be revised";"IRRE"
"name variable instance 000000 class vi to be revised";"IRRE"
"number 990000 class m";"IRRE"
"literal 000000 class l";"IRRE"
"literal date 000000 class ld";"IRRE"
"string 74171b class s";"CODE"
"string backtick 4e9a06 class sb";"CODE"
"string char 4e9a06 class sc";"CODE"
"string doc italic 640000 class sd like a comment";"CODE"
"string double 74171b class s2";"CODE"
"string escape 74171b class se";"CODE"
"string heredoc 74171b class sh";"CODE"
"string interpol 74171b class si";"CODE"
"string other 74171b class sx";"CODE"
"string regex 74171b class sr";"CODE"
"string single 74171b class s1";"CODE"
"string symbol 74171b class ss";"CODE"
"generic 000000 class g";"IRRE"
"generic deleted a40000 class gd";"CODE"
"generic emph italic 000000 class ge";"IRRE"
"generic error ef2929 class gr";"IRRE"
"generic heading bold 000080 class gh";"IRRE"
"generic inserted 00a000 class gi";"CODE"
"generic output 888 class go";"IRRE"
"generic prompt 745334 class gp";"IRRE"
"generic strong bold 000000 class gs";"IRRE"
"generic subheading bold 800080 class gu";"IRRE"
"generic traceback bold a40000 class gt";"IRRE"
"xxx i don t understand the impact of having a priority more than the";"CODE"
"attribute or instance method but the thing is if it s a cython module";"META"
"the attribute will be preferred over method";"META"
"try to check if the first line of the doc is a signature";"CODE"
"an identifier starts with a letter or underscore";"CODE"
"followed by optional numbers or letters or underscores";"CODE"
"test for cython cpdef";"CODE"
"match identifier identifier anything";"-"
"test for cython class";"IRRE"
"match identifier anything";"-"
"test for python method in cython class";"CODE"
"match identifier anything where";"-"
"remove empty lines";"-"
"if we still have lines remove the title";"TASK"
"if the title is followed by a separator remove it";"-"
"trick to realign the first line to the second one";"CODE"
"fixme fail if we finishing with";"TASK"
"calculate the minimum space available";"-"
"remove that kind of space now";"CODE"
"remove the first self argument because python autodoc don t";"CODE"
"add it for python method class so do the same for cython class";"CODE"
"get normal components";"-"
"get texture coordinate components";"-"
"get vertex components";"-"
"mesh calculate normals";"-"
"read the magnetic sensor from the hardware class";"CODE"
"calculate the angle";"-"
"fix animation transition around the unit circle";"-"
"add the number of revolutions to the result";"TASK"
"animate the needle";"-"
"when you are going on pause don t forget to stop the sensor";"CODE"
"reactivate the sensor when you are back to the app";"-"
"create an animation object this object could be stored";"IRRE"
"and reused each call or reused across different widgets";"IRRE"
"is a sequential step while is in parallel";"CODE"
"apply the animation on the button passed in the instance argument";"META"
"notice that default click animation changing the button";"CODE"
"color while the mouse is down is unchanged";"CODE"
"create a button and attach animate method as a on press handler";"IRRE"
"kivy require 1 8 0 1 8 is when kv directory became part of app";"CODE"
"note that importing floatlayout causes kivy to execute including";"CODE"
"starting up the logger and some other messages";"IRRE"
"the name idiom executes when run from command line but not from import";"CODE"
"else help";"-"
"return a button as a root widget";"IRRE"
"we don t actually need to set asyncio as the lib because it is";"TASK"
"the default but it doesn t hurt to be explicit";"CODE"
"get some sleep";"-"
"when canceled print that it finished";"CODE"
"we don t actually need to set asyncio as the lib because it is the";"TASK"
"default but it doesn t hurt to be explicit";"CODE"
"await async runtouchapp root async lib asyncio run kivy";"CODE"
"now cancel all the other tasks that may be running";"TASK"
"when canceled print that it finished";"CODE"
"root builder load string kv root widget";"CODE"
"trio needs to be set so that it ll be used for the event loop";"IRRE"
"get some sleep";"-"
"when canceled print that it finished";"CODE"
"trio needs to be set so that it ll be used for the event loop";"IRRE"
"await async runtouchapp root async lib trio run kivy";"CODE"
"now cancel all the other tasks that may be running";"TASK"
"when canceled print that it finished";"CODE"
"root builder load string kv root widget";"CODE"
"stop the sound if it s currently playing";"-"
"encoding utf8";"-"
"uncomment these lines to see all the messages";"-"
"from kivy logger import logger";"CODE"
"import logging";"CODE"
"logger setlevel logging trace";"IRRE"
"elf d 10 pixel tolerance when clicking on a point";"CODE"
"elf current point none index of point being dragged";"CODE"
"effect to reduce length while increase offset";"IRRE"
"effect to reduce length while increase offset";"IRRE"
"pacman";"-"
"wait that all the instructions are in the canvas to set texture";"CODE"
"trick to attach graphics instruction to fbo instead of canvas";"CODE"
"fun result with low segments";"IRRE"
"setting shader fs to new source code automatically compiles it";"IRRE"
"here we are binding a custom texture at index 1";"-"
"this will be used as texture1 in shader";"CODE"
"the filenames are misleading they do not correspond to the";"META"
"index here or in the shader";"CODE"
"create a rectangle with texture will be at index 0";"IRRE"
"set the texture1 to use texture index 1";"IRRE"
"call the constructor of parent";"CODE"
"if they are any graphics objects they will be added on our new";"CODE"
"canvas";"-"
"we ll update our glsl variables in a clock";"CODE"
"this is needed for the default vertex shader";"CODE"
"coding utf 8";"-"
"rectangle of default size 100x100";"CODE"
"roundedrectangles of default size 100x100";"CODE"
"textured";"-"
"colored";"-"
"textured colored";"-"
"color 3 3 3 1";"-"
"possible radius arguments";"-"
"1 same value for each corner";"CODE"
"with same radius 20x20";"-"
"with same radius dimensions 20x40";"-"
"2 different values for each corner";"IRRE"
"with different radiuses nxn";"-"
"with different radiuses";"-"
"default ellipses";"CODE"
"radius dimensions can t be bigger than half of the figure side";"-"
"segments parameter defines how many segments each corner has";"IRRE"
"more segments more roundness";"-"
"various sizes";"CODE"
"you can cut corners by setting segments to 1";"IRRE"
"you can set different segment count to corners";"IRRE"
"by using a list useful for lowering vertex count";"CODE"
"by using small amount on small corners while using";"CODE"
"bigger amount on bigger corners";"-"
"if radius dimension is 0 then the corner will be sharp";"-"
"90 degrees it is also possible to mix tuple values";"IRRE"
"with numeric";"-"
"the hollow square shape";"-"
"coding utf 8";"-"
"loading the content of root kv";"CODE"
"unload the content of the kv file";"CODE"
"reason it could have data from previous calls";"IRRE"
"clear the container";"-"
"load the content of the kv file";"CODE"
"add the content of the kv file to the container";"TASK"
"node puzzlenode texture subtexture";"-"
"size bs bs pos bx by";"-"
"config set graphics width 1024";"IRRE"
"config set graphics height 768";"IRRE"
"keycodes on osx";"-"
"this allows either ctrl or cmd but not both";"META"
"reset undo redo history";"CODE"
"local libraries";"IRRE"
"if g in self recognizer db not needed for testing";"CODE"
"local libraries";"IRRE"
"refuse heap permute for gestures with more strokes than 3";"CODE"
"you can increase it but 4 strokes 384 templates 5 3840";"META"
"recognize can block the ui with max gpf 100 show a message";"-"
"get a reference to the original gesturecontainer object";"CODE"
"reanalyze the candidate strokes using current database";"IRRE"
"tag the result with the gesture object it didn t change";"IRRE"
"tag the selected item with the updated progresstracker";"CODE"
"create a gesturevisualizer that draws the gesture on canvas";"IRRE"
"tag it with the result object so addgestureform load visualizer";"CODE"
"has the results to build labels in the scrollview";"IRRE"
"add the visualizer to the list of gestures in history screen";"TASK"
"make sure the top is visible";"-"
"fixme this seems inefficient is there a better way";"CODE"
"local libraries";"IRRE"
"don t bother creating label if it s not going to be drawn";"CODE"
"don t bother creating label if it s not going to be drawn";"CODE"
"setting notransition breaks the history screen possibly related";"IRRE"
"to some inexplicable rendering bugs on my particular system";"CODE"
"setup the gesturesurface and bindings to our recognizer";"IRRE"
"history is the list of gestures drawn on the surface";"-"
"database is the list of gesture templates in recognizer";"CODE"
"settings screen";"IRRE"
"wrap in a gridlayout so the main menu is always visible";"CODE"
"the root is created in pictures kv";"IRRE"
"get any files into images directory";"CODE"
"load the image";"CODE"
"add to the main field";"TASK"
"ifdef gl es";"CODE"
"endif";"CODE"
"ifdef gl es";"CODE"
"endif";"CODE"
"import random random random";"IRRE"
"this might mean we are on a device whose pressure value is";"IRRE"
"incorrectly reported by sdl3 like recent ios devices";"-"
"if pressure changed create a new point instruction";"CODE"
"install twisted rector must be called before importing the reactor";"CODE"
"a simple client that send messages to the echo server";"CODE"
"a simple kivy app with a textbox to enter messages and";"-"
"a large label to display all the messages received from";"CODE"
"the server";"-"
"install twisted rector must be called before importing and using the reactor";"CODE"
"reactor is already running so we just start the service collection";"CODE"
"add pre recorded gestures to database";"TASK"
"start collecting points in touch ud";"CODE"
"create a line to display the points";"IRRE"
"store points of the touch movement";"CODE"
"touch is over display information and check if it matches some";"IRRE"
"known gesture";"-"
"gestures to my gestures py";"-"
"print match scores between all known gestures";"CODE"
"use database to find the more alike gesture if any";"IRRE"
"erase the lines on the screen this is a bit quick dirty since we";"IRRE"
"can have another touch event on the way";"-"
"kivy require 1 0 6 replace with your current kivy version";"META"
"author zen code";"META"
"this example uses features introduced in kivy 1 8 0 namely being able";"CODE"
"to load custom json files from the app folder";"CODE"
"just a space taker to allow for the popup keyboard";"CODE"
"p3 b color ff0000 warning color b this is a system wide";"CODE"
"add the file in our app directory the json extension is required";"TASK"
"system keyboard keycode 122 z";"CODE"
"dock keyboard keycode z";"CODE"
"m none the root screen manager";"-"
"ifdef gl es";"CODE"
"endif";"CODE"
"change the default canvas to rendercontext we can change the shader";"CODE"
"add kinect depth provider and start the thread";"TASK"
"parent init";"IRRE"
"allocate texture for pushing depth";"CODE"
"create default canvas element";"IRRE"
"add a little clock to update our glsl";"TASK"
"update projection mat and uvsize";"CODE"
"print out the given parameter";"IRRE"
"check the status of the switch by referring on the id";"CODE"
"set the text of the label by referring on the id";"IRRE"
"set the text of the label by referring on the id";"IRRE"
"import clipboard kivy core clipboard clipboard";"CODE"
"save an image into bytesio";"CODE"
"joystick gamepad example";"-"
"stop fire from https wiki libsdl org sdl joyaxisevent";"CODE"
"fire trigger axis";"-"
"min value for user to actually trigger axis";"IRRE"
"current values event instance";"IRRE"
"get joystick events first";"-"
"show values in console";"IRRE"
"hat first returns max values";"IRRE"
"unschedule if at zero or at minimum fire";"-"
"schedule if over offset to prevent accidental event with low value";"IRRE"
"replace window instance with identifier";"CODE"
"get app instance to add function from widget";"CODE"
"add function to the list";"TASK"
"a function catching a dropped file";"CODE"
"if it s dropped in the widget s area";"CODE"
"on drop file s filename is bytes py3";"-"
"set an empty list that will be later populated";"IRRE"
"with functions from widgets themselves";"CODE"
"bind handling function to on drop file";"CODE"
"this will execute each function from list with arguments from";"CODE"
"window on drop file";"CODE"
"make sure window on drop file works on your system first";"CODE"
"otherwise the example won t work at all";"IRRE"
"coding utf 8";"-"
"import window kivy core window window";"CODE"
"this is a simple demo for advanced collisions and mesh creation from a set";"CODE"
"of points its purpose is only to give an idea on how to make complex stuff";"META"
"check garden collider for better performance";"CODE"
"cloud polygon 67 vertices custom origin 150 50";"-"
"keep references for offset";"CODE"
"shape properties";"-"
"position changed by touch";"-"
"position changed by call shape pos x";"IRRE"
"move polygon points by offset";"IRRE"
"stick label to bounding box widget";"-"
"move debug collider if available";"-"
"return if no mesh available";"IRRE"
"move mesh vertices by offset";"IRRE"
"grab single touch for shape";"CODE"
"get touches";"-"
"get offsets move trigger on pos event";"IRRE"
"ignore if no polygon area is set";"IRRE"
"compare point pairs via pip algo too long read";"CODE"
"https en wikipedia org wiki point in polygon";"CODE"
"get points within a circle with radius of r x r y";"CODE"
"add uv layout zeros for mesh see mesh docs";"CODE"
"draw mesh shape from generated poly points";"CODE"
"first point has to be the center of the convex shape s mass";"CODE"
"that s where the triangle fan starts from";"CODE"
"make the polygon smaller to fit 100x100 bounding box";"-"
"create list of vertices get edges of the polygon";"IRRE"
"add uv layout zeros for mesh";"TASK"
"get center of poly from edges";"CODE"
"get distance from the widget s center and push the points to";"CODE"
"the widget s origin so that min x and min y for the poly would";"CODE"
"result in 0 i e points moved as close as possible to 0 0";"CODE"
"no editor gives poly points moved to the origin directly";"OUTD"
"move polygon points to the bounding box touch";"CODE"
"move mesh points to the bounding box image";"CODE"
"has to contain the same points as polygon";"CODE"
"draw mesh shape from generated poly points";"CODE"
"debug polygon points with line to see the origin point";"CODE"
"and intersections with the other points";"CODE"
"line points poly";"CODE"
"register an event for collision";"CODE"
"get all combinations from all available shapes";"CODE"
"dispatch a custom event if the objects collide";"IRRE"
"draw collider only if debugging";"-"
"add circle collider only if the shape doesn t have one";"TASK"
"the environment for all 2d shapes";"CODE"
"list of 2d shapes starting with regular ones";"-"
"move shapes to some random position";"IRRE"
"check for simple collisions between the shapes";"CODE"
"enable shaped window";"CODE"
"set the window background color to transparent";"IRRE"
"define the kv layout";"CODE"
"list of image paths to cycle through";"CODE"
"move to the next image in the list";"CODE"
"import json json";"CODE"
"import c kivy utils get color from hex";"CODE"
"we first define our gui";"CODE"
"this json defines entries we want to appear in our app configuration screen";"CODE"
"the line below is optional you could leave it out or use one of the";"-"
"standard options such as settingswithsidebar settingswithspinner";"IRRE"
"etc";"-"
"we apply the saved configuration settings or the defaults";"CODE"
"we use the string defined above for our json but it could also be";"CODE"
"loaded from a file as follows";"CODE"
"settings add json panel my label self config settings json";"IRRE"
"plasma shader";"-"
"property to set the source code for fragment shader";"CODE"
"instead of using canvas we will use a rendercontext";"CODE"
"and change the default shader used";"CODE"
"call the constructor of parent";"CODE"
"if they are any graphics object they will be added on our new canvas";"CODE"
"we ll update our glsl variables in a clock";"CODE"
"set the fragment shader to our source code";"IRRE"
"this is needed for the default vertex shader";"CODE"
"imported early for side effects needed for shader";"CODE"
"property to set the source code for fragment shader";"CODE"
"instead of using canvas we will use a rendercontext";"CODE"
"and change the default fragment shader used";"CODE"
"call the constructor of parent";"CODE"
"if they are any graphics object they will be added on our new canvas";"CODE"
"we ll update our glsl variables in a clock";"CODE"
"set the fragment shader to our source code";"IRRE"
"from kivy core window import window side effects needed by shader";"CODE"
"pulse danguafer silexars 2010";"-"
"post processing by iq 2009";"-"
"property to set the source code for fragment shader";"CODE"
"texture of the framebuffer";"-"
"instead of using canvas we will use a rendercontext";"CODE"
"and change the default shader used";"CODE"
"call the constructor of parent";"CODE"
"if they are any graphics object they will be added on our new canvas";"CODE"
"we ll update our glsl variables in a clock";"CODE"
"set the fragment shader to our source code";"IRRE"
"now if we have new widget to add";"TASK"
"add their graphics canvas to our framebuffer not the usual canvas";"TASK"
"prepare shader list";"-"
"kivy 1 8 0";"-"
"from kivy uix image import image";"CODE"
"root add widget image source data logo kivy icon 512 png";"TASK"
"size 800 600";"-"
"coding utf 8";"-"
"import f kivy factory factory";"CODE"
"width sv width 25 don t draw below scrollbar";"IRRE"
"halign";"-"
"not supported by textinput";"CODE"
"halignbutton";"META"
"text justify";"-"
"base direction";"-"
"font context";"-"
"font size";"-"
"boxlayout";"-"
"orientation horizontal";"-"
"size hint y none";"CODE"
"height 30dp";"-"
"button";"META"
"color 0 1 0 1";"-"
"text add font user";"TASK"
"button";"META"
"color 0 1 0 1";"-"
"text add font system user";"TASK"
"togglebutton";"META"
"text enable markup";"-"
"state down";"CODE"
"on state";"-"
"for c in boxes children c markup self state down";"CODE"
"bounce ball off paddles";"TASK"
"bounce ball off bottom or top";"-"
"went off a side to score point";"CODE"
"bounce off top and bottom";"-"
"bounce off left and right";"-"
"bounce off paddles";"TASK"
"bounce ball off bottom or top";"-"
"went off to a side to score point";"CODE"
"kivy require 1 0 6 replace with your current kivy version";"META"
"kivy 1 0";"-"
"import os os";"CODE"
"each time a picture is created the image can delay the loading";"CODE"
"as soon as the image is loaded ensure that the center is changed";"CODE"
"to the center of the screen";"-"
"create initial image to be 400 pixels width";"IRRE"
"add shadow background";"TASK"
"the client area in which all editing is done";"CODE"
"we will be accessing this later as app main root widget";"CODE"
"start searching after the last selected node";"CODE"
"example for doing a triangle";"CODE"
"this will automatically recalculate px from pos size";"CODE"
"if you use a widget instead of scatter as base class you need that";"CODE"
"p1 self pos";"CODE"
"p2 self right self y";"CODE"
"p3 self center x self top";"CODE"
"draw something";"-"
"import vector kivy vector vector";"CODE"
"the effect string is glsl code defining an effect function";"CODE"
"needed to create fbo must be resolved in future kivy version";"TASK"
"wait that all the instructions are in the canvas to set texture";"CODE"
"trick to attach graphics instruction to fbo instead of canvas";"CODE"
"test with fbofloatlayout or floatlayout";"CODE"
"comment uncomment to test it";"IRRE"
"root floatlayout";"CODE"
"this part of creation can be slow try to optimize the loop a";"CODE"
"little bit";"-"
"make elements 29 9 un focusable the widgets are displayed in";"CODE"
"reverse order so 9 39 10";"-"
"similarly make 39 14 25 and 5 un focusable";"-"
"don t move focus passed this element";"CODE"
"exchange the links between the sides so that it ll skip to the other";"-"
"side in the middle remember that children are displayed reversed";"CODE"
"in layouts";"-"
"if it exists this widget is a vkeyboard object which you can use";"CODE"
"to change the keyboard layout";"-"
"keycode is composed of an integer a string";"CODE"
"if we hit escape release the keyboard";"IRRE"
"return true to accept the key otherwise it will be used by";"IRRE"
"the system";"CODE"
"copied from https en wikipedia org wiki a tale of two cities";"CODE"
"published in 1859 and public domain";"CODE"
"the newline after the title will help demonstrate halign";"CODE"
"note many of the widgets stacklayout togglebutton spinner have";"TASK"
"defaults set at the bottom of the kv where demolabel and headinglabel";"IRRE"
"are also defined";"CODE"
"all labels use these properties set to label defaults";"IRRE"
"initialize words generator";"IRRE"
"dynamic kv classes";"IRRE"
"import rgba kivy utils rgba";"CODE"
"magic value for the default height of the message";"CODE"
"bg color 223344";"-"
"create a message for the recycleview";"IRRE"
"when the label is updated we want to make sure the displayed size is";"CODE"
"proper";"-"
"one line dp 50 a bit of hack ymmv";"-"
"if the texture is too big limit its size";"-"
"if it was limited but is now too small to be limited raise the limit";"IRRE"
"just set the size";"IRRE"
"elf add message text right 223344";"TASK"
"elf add message do you really think so left 332211";"TASK"
"button widget for inner vertical recycleviews";"META"
"panel container holds a vertical recycleview";"CODE"
"header label";"CODE"
"inner vertical recycleview with 50 buttons";"META"
"main layout";"CODE"
"instructions";"CODE"
"outer horizontal recycleview";"-"
"do scroll x true important to set do scroll attributes";"CODE"
"populate outer recycleview with 20 panels";"-"
"using a thread to do a potentially long operation without blocking";"CODE"
"the ui";"-"
"sync one animated property to the value in the proxy";"IRRE"
"when we are assigned an animation proxy sync our properties to";"IRRE"
"the animated version";"META"
"if we lose our animation proxy we need to reset the animated";"TASK"
"property to their default values";"IRRE"
"the triggered decorator allows delaying the animation until after the";"CODE"
"blue effect on the button is removed to avoid a flash as widgets gets";"OUTD"
"reordered when that happens";"-"
"the animation we actually want to do on the item note that any";"TASK"
"property animated here needs to be synchronized from the proxy to the";"TASK"
"animated widget in on animation proxy and using methods for each";"CODE"
"animation";"-"
"animation is complete widget should be garbage collected";"CODE"
"my item number one";"-"
"my item number two with some more content";"-"
"my third item";"-"
"my four item";"-"
"import random random random";"IRRE"
"import slidetransition kivy uix screenmanager slidetransition";"CODE"
"import swaptransition kivy uix screenmanager swaptransition";"CODE"
"import wipetransition kivy uix screenmanager wipetransition";"CODE"
"import fadetransition kivy uix screenmanager fadetransition";"CODE"
"import riseintransition kivy uix screenmanager riseintransition";"CODE"
"import fallouttransition kivy uix screenmanager fallouttransition";"CODE"
"import notransition kivy uix screenmanager notransition";"CODE"
